name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in,found_year
Gábor,8.25,male,Siberian Husky Mix,2013-09-10,2013-09-10,2013-09-10,yellow,short,medium,unknown,unknown,yes,unknown,yes,unknown,unknown,both flat and garden,2013
Herta,7.25,female,Unknown Mix,2013-09-16,2013-09-16,2013-09-20,brown and white,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2013
Kabóca,7.5,female,Unknown Mix,2013-08-22,2013-09-14,2013-08-25,black,wirehaired,medium,yes,unknown,yes,unknown,yes,yes,unknown,garden,2013
Amália,13.17,female,Unknown Mix,2010-01-01,2010-01-01,2013-09-23,yellow-brown,long,large,yes,unknown,yes,unknown,yes,unknown,unknown,both flat and garden,2010
Szemi,7.25,female,Unknown Mix,2013-08-23,2013-08-23,2013-08-26,tricolor,short,large,yes,unknown,unknown,unknown,unknown,unknown,unknown,garden,2013
Macky,6.5,male,Unknown Mix,2013-09-01,2013-09-01,2013-09-16,yellow-brown,short,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Alma,12.92,female,Unknown Mix,2007-01-01,2007-01-01,2013-09-20,gray and black,long,medium,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2007
Zsombi,14.92,male,Dachshund Mix,2013-08-29,2013-08-29,2013-09-01,brown,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2013
Gergõ,6.67,male,Unknown Mix,2013-08-19,2013-09-04,2013-08-19,black,short,medium,unknown,unknown,yes,yes,yes,yes,unknown,both flat and garden,2013
Anda,7.5,female,Labrador Retriever Mix,2013-07-17,2013-07-17,2013-08-17,black,short,large,no,unknown,yes,yes,yes,yes,unknown,garden,2013
Unknown,9.25,male,Pinscher Mix,2013-08-10,2013-08-10,2013-08-14,black and brown,short,small,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,2013
Legra,7.17,female,Labrador Retriever Mix,2013-08-06,2013-09-14,2013-08-20,black,short,large,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
Sarah,11.17,female,Unknown Mix,2010-02-10,2010-02-10,2013-08-15,apricot,short,medium,yes,unknown,yes,yes,yes,unknown,unknown,garden,2010
Havana,8.33,female,Unknown Mix,2013-08-10,2013-09-15,2013-08-20,black,short,medium,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
Brico,6.75,male,Unknown Mix,2013-03-14,2013-03-14,2013-08-16,striped,wirehaired,medium,yes,unknown,yes,yes,yes,yes,yes,both flat and garden,2013
Tarzán,7.92,male,Terrier Mix,2013-06-23,2013-08-20,2013-08-20,yellow-brown,medium,large,no,unknown,yes,unknown,yes,yes,unknown,garden,2013
Unknown,6.67,male,Dachshund Mix,2013-08-02,2013-08-02,2013-08-09,yellow-brown,short,small,no,yes,yes,yes,yes,yes,unknown,unknown,2013
Prücsi,10.33,female,Unknown Mix,2013-01-16,2013-08-14,2013-08-14,yellow-brown,short,large,yes,unknown,yes,unknown,yes,yes,unknown,garden,2013
Csilla,7.0,female,German Shepherd Dog Mix,2013-07-05,2013-08-13,2013-08-13,black and brown,short,large,no,unknown,yes,unknown,yes,yes,unknown,garden,2013
Borika,8.25,female,Pinscher Mix,2013-08-05,2013-08-05,2013-08-16,brown,short,small,yes,unknown,yes,yes,yes,yes,no,both flat and garden,2013
Panna,6.5,female,Bull Terrier Mix,2013-08-05,2013-08-05,2013-08-19,yellow,short,medium,yes,unknown,yes,yes,yes,yes,yes,unknown,2013
Borcsa,14.33,female,Unknown Mix,2013-08-05,2013-08-01,2013-08-15,black and tan,short,medium,yes,unknown,yes,yes,yes,no,unknown,both flat and garden,2013
Ricsi,7.67,male,"Labrador Retriever, Rhodesian Ridgeback Mix",2013-01-01,2013-01-01,2013-08-15,golden,short,large,yes,unknown,yes,yes,yes,yes,no,both flat and garden,2013
Bond,6.75,male,Unknown Mix,2013-03-14,2013-03-14,2013-08-16,brown and white,wirehaired,medium,yes,unknown,yes,yes,yes,yes,yes,both flat and garden,2013
Benga,6.75,male,Unknown Mix,2013-03-14,2013-03-14,2013-08-16,gray,medium,medium,yes,unknown,yes,yes,yes,yes,yes,both flat and garden,2013
Pocok,6.5,female,Bull Terrier Mix,2013-08-05,2013-08-05,2013-08-19,striped,short,medium,yes,unknown,yes,yes,yes,yes,yes,unknown,2013
Ismeretlen...,7.33,male,Fox Terrier,2013-08-07,2013-08-07,2013-08-10,black and white,short,small,no,unknown,yes,yes,yes,yes,yes,both flat and garden,2013
Robi,12.17,male,Labrador Retriever Mix,2010-03-10,2010-03-10,2013-08-15,apricot,short,large,unknown,unknown,yes,unknown,unknown,yes,unknown,garden,2010
Chili,6.67,male,Unknown Mix,2013-06-28,2013-08-20,2013-07-31,brown,short,medium,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
Fuchur A Sárkány,6.67,male,"Border Collie, Labrador Retriever, White Swiss Shepherd Mix",2013-04-06,2013-04-06,2013-07-28,golden,medium,medium,no,no,yes,yes,yes,yes,yes,unknown,2013
Ében,6.58,male,Unknown Mix,2013-07-09,2013-08-12,2013-07-24,black,medium,small,unknown,unknown,yes,yes,yes,yes,unknown,unknown,2013
Unknown,7.33,male,Unknown Mix,2013-07-21,2013-07-21,2013-07-21,yellow-brown,medium,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Somló,11.83,female,Dachshund Mix,2013-07-04,2013-08-25,2013-08-02,brown,short,small,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
Boogie,13.92,male,Dogo Argentino Mix,2013-07-22,2013-07-22,2013-07-22,spotty,short,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Berci,8.33,male,Unknown Mix,2012-09-25,2012-09-25,2013-08-03,black,short,medium,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,2012
